Species,NestID,Province,Site,Latitude,Longitude,Accuracy,UserID,Name,MNRS,Year,Interval.EL,Interval.prog,CID,CIDm,CIDea,HD,HDm,HDea,CS,BS,SD12,HS,FS,minFt,minJFt,medJFt,medJp,meanMAp,Tlat,Tlong,Plat,Plong,Tdist,Pdist,Tstation,Pstation
TRES,423891,NB,ShediacBridgeIndianPoint,46.2689,-64.5661,A,1005773,DoraLebalnc,Y,1990,NA,L,35,NA,A,NA,NA,NA,6,6,NA,Y,NA,-26,-23.5,-8.5,1.3,2.63,46.32,-64.57,46.11,-64.68,0.070471,19.730182,GRANDE_DIGUE-1990,MONCTON_A-1990
TRES,409737,NB,AvondaleDUprojectnearLakeville,46.3311,-67.6619,A,1005539,RosemaryCurley,Y,1984,NA,E,35,NA,A,NA,NA,NA,2,NA,NA,NA,NA,-29,-29.5,-3.3,0,1.28,46.38,-67.7,46.53,-67.67,0.191048,22.118433,CENTREVILLE-1984,BEECHWOOD-1984
TRES,423901,NB,ShediacBridgeIndianPoint,46.2689,-64.5661,A,1005773,DoraLebalnc,Y,1990,NA,L,35,NA,A,NA,NA,NA,4,4,NA,Y,NA,-26,-23.5,-8.5,1.3,2.63,46.32,-64.57,46.11,-64.68,0.191048,19.730182,GRANDE_DIGUE-1990,MONCTON_A-1990
TRES,409775,NB,Florenceville,46.4411,-67.6189,A,1005524,FordMAlward,Y,1984,NA,E,33,33,A,57,NA,A,6,NA,NA,Y,NA,-29,-29.5,-3.3,0,1.28,46.38,-67.7,46.53,-67.67,0.394186,10.632613,CENTREVILLE-1984,BEECHWOOD-1984
TRES,409738,NB,AvondaleDUprojectnearLakeville,46.3311,-67.6619,A,1005539,RosemaryCurley,Y,1984,NA,E,35,NA,A,NA,NA,NA,NA,NA,NA,Y,NA,-29,-29.5,-3.3,0,1.28,46.38,-67.7,46.53,-67.67,0.394186,22.118433,CENTREVILLE-1984,BEECHWOOD-1984
TRES,103N31.,NB,KentIsland,44.5814,-66.7558,A,NA,NatWheelwright,N,2003,NA,L,NA,NA,NA,NA,NA,NA,4,0,0,N,N,-25,-19,-4.5,0,2.52,44.65,-66.83,44.71,-66.8,0.401225,14.714549,SEAL_COVE-2003,GRAND_MANAN_SAR_CS-2003
TRES,103O24.,NB,KentIsland,44.5814,-66.7558,A,NA,NatWheelwright,N,2003,NA,L,NA,NA,NA,NA,NA,NA,1,0,0,N,N,-25,-19,-4.5,0,2.52,44.65,-66.83,44.71,-66.8,0.401225,14.714549,SEAL_COVE-2003,GRAND_MANAN_SAR_CS-2003
TRES,103O27.,NB,KentIsland,44.5814,-66.7558,A,NA,NatWheelwright,N,2003,NA,L,NA,NA,NA,44,44,A,6,5,4,Y,Y,-25,-19,-4.5,0,2.52,44.65,-66.83,44.71,-66.8,0.401225,14.714549,SEAL_COVE-2003,GRAND_MANAN_SAR_CS-2003
TRES,103N29.,NB,KentIsland,44.5814,-66.7558,A,NA,NatWheelwright,N,2003,NA,L,NA,NA,NA,46,NA,A,6,5,4,Y,Y,-25,-19,-4.5,0,2.52,44.65,-66.83,44.71,-66.8,0.401225,14.714549,SEAL_COVE-2003,GRAND_MANAN_SAR_CS-2003
TRES,103O25.,NB,KentIsland,44.5814,-66.7558,A,NA,NatWheelwright,N,2003,NA,L,NA,NA,NA,46,NA,A,6,6,6,Y,Y,-25,-19,-4.5,0,2.52,44.65,-66.83,44.71,-66.8,0.401225,14.714549,SEAL_COVE-2003,GRAND_MANAN_SAR_CS-2003
TRES,103L28.,NB,KentIsland,44.5814,-66.7558,A,NA,NatWheelwright,N,2003,NA,L,NA,NA,NA,47,NA,A,6,6,6,Y,Y,-25,-19,-4.5,0,2.52,44.65,-66.83,44.71,-66.8,0.401225,14.714549,SEAL_COVE-2003,GRAND_MANAN_SAR_CS-2003
TRES,103M29.,NB,KentIsland,44.5814,-66.7558,A,NA,NatWheelwright,N,2003,NA,L,NA,NA,NA,47,NA,A,6,5,5,Y,Y,-25,-19,-4.5,0,2.52,44.65,-66.83,44.71,-66.8,0.401225,14.714549,SEAL_COVE-2003,GRAND_MANAN_SAR_CS-2003
TRES,103M24.,NB,KentIsland,44.5814,-66.7558,A,NA,NatWheelwright,N,2003,NA,L,NA,NA,NA,49,NA,A,5,5,5,Y,Y,-25,-19,-4.5,0,2.52,44.65,-66.83,44.71,-66.8,0.401225,14.714549,SEAL_COVE-2003,GRAND_MANAN_SAR_CS-2003
TRES,103M25.,NB,KentIsland,44.5814,-66.7558,A,NA,NatWheelwright,N,2003,NA,L,NA,NA,NA,49,NA,A,7,7,7,Y,Y,-25,-19,-4.5,0,2.52,44.65,-66.83,44.71,-66.8,0.401225,14.714549,SEAL_COVE-2003,GRAND_MANAN_SAR_CS-2003
TRES,103N29.,NB,KentIsland,44.5814,-66.7558,A,NA,NatWheelwright,N,2003,NA,L,NA,NA,NA,49,NA,A,6,6,6,Y,Y,-25,-19,-4.5,0,2.52,44.65,-66.83,44.71,-66.8,0.401225,14.714549,SEAL_COVE-2003,GRAND_MANAN_SAR_CS-2003
TRES,103M26.,NB,KentIsland,44.5814,-66.7558,A,NA,NatWheelwright,N,2003,NA,L,NA,NA,NA,50,NA,A,6,3,2,Y,Y,-25,-19,-4.5,0,2.52,44.65,-66.83,44.71,-66.8,0.401225,14.714549,SEAL_COVE-2003,GRAND_MANAN_SAR_CS-2003
TRES,103M26.,NB,KentIsland,44.5814,-66.7558,A,NA,NatWheelwright,N,2003,NA,L,NA,NA,NA,50,NA,A,5,5,5,Y,Y,-25,-19,-4.5,0,2.52,44.65,-66.83,44.71,-66.8,0.401225,14.714549,SEAL_COVE-2003,GRAND_MANAN_SAR_CS-2003
TRES,103N27.,NB,KentIsland,44.5814,-66.7558,A,NA,NatWheelwright,N,2003,NA,L,NA,NA,NA,50,NA,A,6,6,6,Y,Y,-25,-19,-4.5,0,2.52,44.65,-66.83,44.71,-66.8,0.401225,14.714549,SEAL_COVE-2003,GRAND_MANAN_SAR_CS-2003
TRES,103M21.,NB,KentIsland,44.5814,-66.7558,A,NA,NatWheelwright,N,2003,NA,L,NA,NA,NA,51,NA,A,6,6,6,Y,Y,-25,-19,-4.5,0,2.52,44.65,-66.83,44.71,-66.8,0.401225,14.714549,SEAL_COVE-2003,GRAND_MANAN_SAR_CS-2003
TRES,103N28.,NB,KentIsland,44.5814,-66.7558,A,NA,NatWheelwright,N,2003,NA,L,NA,NA,NA,51,NA,A,7,7,6,Y,Y,-25,-19,-4.5,0,2.52,44.65,-66.83,44.71,-66.8,0.401225,14.714549,SEAL_COVE-2003,GRAND_MANAN_SAR_CS-2003
TRES,103N28.,NB,KentIsland,44.5814,-66.7558,A,NA,NatWheelwright,N,2003,NA,L,NA,NA,NA,51,NA,A,6,6,6,Y,Y,-25,-19,-4.5,0,2.52,44.65,-66.83,44.71,-66.8,0.401225,14.714549,SEAL_COVE-2003,GRAND_MANAN_SAR_CS-2003
TRES,103L27.,NB,KentIsland,44.5814,-66.7558,A,NA,NatWheelwright,N,2003,NA,L,NA,NA,NA,52,NA,A,6,4,0,Y,N,-25,-19,-4.5,0,2.52,44.65,-66.83,44.71,-66.8,0.401225,14.714549,SEAL_COVE-2003,GRAND_MANAN_SAR_CS-2003
TRES,103N31.,NB,KentIsland,44.5814,-66.7558,A,NA,NatWheelwright,N,2003,NA,L,NA,NA,NA,52,NA,A,6,5,5,Y,Y,-25,-19,-4.5,0,2.52,44.65,-66.83,44.71,-66.8,0.401225,14.714549,SEAL_COVE-2003,GRAND_MANAN_SAR_CS-2003
TRES,103M19.,NB,KentIsland,44.5814,-66.7558,A,NA,NatWheelwright,N,2003,NA,L,NA,NA,NA,53,NA,A,4,4,4,Y,Y,-25,-19,-4.5,0,2.52,44.65,-66.83,44.71,-66.8,0.401225,14.714549,SEAL_COVE-2003,GRAND_MANAN_SAR_CS-2003
TRES,103M31.,NB,KentIsland,44.5814,-66.7558,A,NA,NatWheelwright,N,2003,NA,L,NA,NA,NA,54,NA,A,6,6,6,Y,Y,-25,-19,-4.5,0,2.52,44.65,-66.83,44.71,-66.8,0.401225,14.714549,SEAL_COVE-2003,GRAND_MANAN_SAR_CS-2003
TRES,103N26.,NB,KentIsland,44.5814,-66.7558,A,NA,NatWheelwright,N,2003,NA,L,NA,NA,NA,54,NA,A,5,5,5,Y,Y,-25,-19,-4.5,0,2.52,44.65,-66.83,44.71,-66.8,0.401225,14.714549,SEAL_COVE-2003,GRAND_MANAN_SAR_CS-2003
